Date,Open,High,Low,Close,Adj Close,Volume
2018-09-03,8790.000000,8790.000000,8695.000000,8735.000000,7944.931641,5491000
2018-09-04,8745.000000,8800.000000,8630.000000,8795.000000,7999.505371,5183000
2018-09-05,8790.000000,8790.000000,8200.000000,8320.000000,7567.467285,13913500
2018-09-06,8320.000000,8600.000000,8320.000000,8415.000000,7653.874023,15019500
2018-09-07,8430.000000,8910.000000,8430.000000,8895.000000,8090.458496,18795500
2018-09-10,8895.000000,9105.000000,8750.000000,9105.000000,8281.465820,24314000
2018-09-11,9105.000000,9105.000000,9105.000000,9105.000000,8281.465820,0
2018-09-12,9110.000000,9320.000000,9105.000000,9225.000000,8390.611328,20178000
2018-09-13,9225.000000,9315.000000,9210.000000,9310.000000,8467.923828,9448500
2018-09-14,9300.000000,9445.000000,9250.000000,9420.000000,8567.974609,13296500
2018-09-17,9420.000000,9425.000000,9130.000000,9210.000000,8376.968750,8578000
2018-09-18,9190.000000,9210.000000,9000.000000,9105.000000,8281.465820,12961500
2018-09-19,9110.000000,9360.000000,9110.000000,9240.000000,8404.253906,7205000
2018-09-20,9295.000000,9430.000000,9295.000000,9325.000000,8481.567383,12398500
2018-09-21,9420.000000,9420.000000,9360.000000,9415.000000,8563.425781,12007500
2018-09-24,9420.000000,9430.000000,9395.000000,9415.000000,8563.425781,10079000
2018-09-25,9415.000000,9420.000000,9200.000000,9200.000000,8367.873047,7353000
2018-09-26,9200.000000,9420.000000,9195.000000,9215.000000,8381.515625,9266500
2018-09-27,9220.000000,9440.000000,9215.000000,9430.000000,8577.069336,9335500
2018-09-28,9430.000000,9440.000000,9380.000000,9405.000000,8554.330078,8419000
2018-10-01,9305.000000,9440.000000,9255.000000,9260.000000,8422.446289,6590000
2018-10-02,9260.000000,9300.000000,9155.000000,9155.000000,8326.943359,7686500
2018-10-03,9155.000000,9210.000000,8920.000000,8970.000000,8158.675781,5431000
2018-10-04,8970.000000,8970.000000,8570.000000,8605.000000,7826.689453,16013000
2018-10-05,8605.000000,8630.000000,8460.000000,8535.000000,7763.021484,11899500
2018-10-08,8560.000000,9000.000000,8560.000000,8840.000000,8040.434082,11964000
2018-10-09,8840.000000,8970.000000,8645.000000,8880.000000,8076.815918,5861000
2018-10-10,8960.000000,9000.000000,8840.000000,8980.000000,8167.771484,5666500
2018-10-11,8800.000000,8930.000000,8600.000000,8820.000000,8022.243164,11703500
2018-10-12,8820.000000,9040.000000,8800.000000,8860.000000,8058.624512,7792500
2018-10-15,8935.000000,8980.000000,8720.000000,8720.000000,7931.288086,5271500
2018-10-16,8735.000000,9120.000000,8735.000000,9120.000000,8295.106445,7668000
2018-10-17,9125.000000,9145.000000,8910.000000,9000.000000,8185.962402,6646000
2018-10-18,9000.000000,9000.000000,8840.000000,8920.000000,8113.197754,9406500
2018-10-19,8840.000000,8995.000000,8770.000000,8970.000000,8158.675781,9321000
2018-10-22,8970.000000,9030.000000,8885.000000,8895.000000,8090.458496,7491000
2018-10-23,8960.000000,9030.000000,8850.000000,8900.000000,8095.006836,8347500
2018-10-24,8850.000000,8895.000000,8600.000000,8600.000000,7822.142090,12487500
2018-10-25,8440.000000,8900.000000,8440.000000,8860.000000,8058.624512,13398000
2018-10-26,8800.000000,8880.000000,8800.000000,8835.000000,8035.885742,4003500
2018-10-29,8880.000000,8900.000000,8740.000000,8790.000000,7994.957031,3624000
2018-10-30,8790.000000,8900.000000,8760.000000,8900.000000,8095.006836,9480000
2018-10-31,8950.000000,8960.000000,8550.000000,8645.000000,7863.070801,24829500
2018-11-01,8700.000000,8715.000000,8405.000000,8440.000000,7676.613770,23544000
2018-11-02,8560.000000,8580.000000,8455.000000,8545.000000,7772.116211,18657000
2018-11-05,8545.000000,8660.000000,8545.000000,8615.000000,7835.785156,10290500
2018-11-06,8655.000000,8680.000000,8530.000000,8600.000000,7822.142090,10743000
2018-11-07,8600.000000,8600.000000,8405.000000,8440.000000,7676.613770,28285500
2018-11-08,8495.000000,8540.000000,8445.000000,8460.000000,7694.805176,16435500
2018-11-09,8210.000000,8360.000000,8025.000000,8065.000000,7335.531738,62636500
2018-11-12,8100.000000,8155.000000,7780.000000,7875.000000,7162.717285,26985500
2018-11-13,7875.000000,8060.000000,7800.000000,7990.000000,7267.314941,20431500
2018-11-14,8005.000000,8180.000000,8000.000000,8000.000000,7276.410645,14030000
2018-11-15,8050.000000,8245.000000,8050.000000,8220.000000,7476.512207,13245500
2018-11-16,8260.000000,8370.000000,8130.000000,8295.000000,7620.750488,18344000
2018-11-19,8360.000000,8360.000000,8205.000000,8260.000000,7588.595703,9715500
2018-11-20,8260.000000,8260.000000,8260.000000,8260.000000,7588.595703,0
2018-11-21,8120.000000,8185.000000,8000.000000,8180.000000,7515.098145,15001500
2018-11-22,8200.000000,8260.000000,8120.000000,8225.000000,7556.440918,9237000
2018-11-23,8220.000000,8450.000000,8185.000000,8430.000000,7744.777832,11279000
2018-11-26,8430.000000,8500.000000,8320.000000,8425.000000,7740.183105,12876500
2018-11-27,8400.000000,8450.000000,8350.000000,8450.000000,7763.151367,8156500
2018-11-28,8450.000000,8450.000000,8100.000000,8100.000000,7441.601074,9570000
2018-11-29,8260.000000,8440.000000,8260.000000,8420.000000,7735.589844,13306000
2018-11-30,8420.000000,8500.000000,8410.000000,8450.000000,7763.151367,18001000
